Zipcode,State,City,Grow Zone
01436,MA,BALDWINVILLE,5-6
02630,MA,BARNSTABLE,7
01730,MA,BEDFORD,6-7
01731,MA,HANSCOM AFB,6-7
02019,MA,BELLINGHAM,6
01503,MA,BERLIN,6
01915,MA,BEVERLY,6-7
01821,MA,BILLERICA,6-7
01504,MA,BLACKSTONE,6
01740,MA,BOLTON,6
02108,MA,BOSTON,6-7
02109,MA,BOSTON,6-7
02110,MA,BOSTON,6-7
02111,MA,BOSTON,6-7
02113,MA,BOSTON,6-7
02114,MA,BOSTON,6-7
02115,MA,BOSTON,6-7
02116,MA,BOSTON,6-7
02118,MA,BOSTON,6-7
02119,MA,ROXBURY,6-7
02120,MA,ROXBURY CROSSING,6-7
02121,MA,DORCHESTER,6-7
02122,MA,DORCHESTER,6-7
02124,MA,DORCHESTER CENTER,6-7
02125,MA,DORCHESTER,6-7
02126,MA,MATTAPAN,6-7
02127,MA,BOSTON,6-7
02128,MA,BOSTON,6-7
02129,MA,CHARLESTOWN,6-7
02130,MA,JAMAICA PLAIN,6-7
02131,MA,ROSLINDALE,6-7
02132,MA,WEST ROXBURY,6-7
02133,MA,BOSTON,6-7
02134,MA,ALLSTON,6-7
02135,MA,BRIGHTON,6-7
02136,MA,HYDE PARK,6-7
02163,MA,BOSTON,6-7
02199,MA,BOSTON,6-7
02203,MA,BOSTON,6-7
02210,MA,BOSTON,6-7
02215,MA,BOSTON,6-7
02222,MA,BOSTON,6-7
02283,MA,BOSTON,6-7
02284,MA,BOSTON,6-7
01921,MA,BOXFORD,6
01505,MA,BOYLSTON,5-6
02631,MA,BREWSTER,7
02324,MA,BRIDGEWATER,6-7
02301,MA,BROCKTON,6-7
02302,MA,BROCKTON,6-7
01506,MA,BROOKFIELD,5-6
01803,MA,BURLINGTON,6-7
02532,MA,BUZZARDS BAY,6-7
02542,MA,BUZZARDS BAY,6-7
01922,MA,BYFIELD,6
02138,MA,CAMBRIDGE,6-7
02139,MA,CAMBRIDGE,6-7
02140,MA,CAMBRIDGE,6-7
02141,MA,CAMBRIDGE,6-7
02142,MA,CAMBRIDGE,6-7
02021,MA,CANTON,6-7
01741,MA,CARLISLE,6-7
02330,MA,CARVER,6-7
02632,MA,CENTERVILLE,7
01507,MA,CHARLTON,6
02633,MA,CHATHAM,7
01824,MA,CHELMSFORD,6
02535,MA,CHILMARK,7
01510,MA,CLINTON,5-6
02025,MA,COHASSET,6-7
01742,MA,CONCORD,6-7
02635,MA,COTUIT,7
02061,MA,NORWELL,6-7
02062,MA,NORWOOD,6-7
02557,MA,OAK BLUFFS,7
02653,MA,ORLEANS,7
02655,MA,OSTERVILLE,7
01540,MA,OXFORD,6
01960,MA,PEABODY,6-7
02359,MA,PEMBROKE,6-7
01463,MA,PEPPERELL,6
02360,MA,PLYMOUTH,6-7
02367,MA,PLYMPTON,6-7
02559,MA,POCASSET,6-7
01541,MA,PRINCETON,5-6
02657,MA,PROVINCETOWN,6-7
02368,MA,RANDOLPH,6-7
01867,MA,READING,6-7
01542,MA,ROCHDALE,5-6
02370,MA,ROCKLAND,6-7
01966,MA,ROCKPORT,6
01969,MA,ROWLEY,6
01543,MA,RUTLAND,5-6
02562,MA,SAGAMORE BEACH,6-7
01970,MA,SALEM,6-7
02563,MA,SANDWICH,6-7
02066,MA,SCITUATE,6-7
02067,MA,SHARON,6-7
01770,MA,SHERBORN,6-7
01464,MA,SHIRLEY,6
01545,MA,SHREWSBURY,5-6
01745,MA,FAYVILLE,6-7
01772,MA,SOUTHBOROUGH,6
01550,MA,SOUTHBRIDGE,6
02659,MA,SOUTH CHATHAM,7
02660,MA,SOUTH DENNIS,7
02375,MA,SOUTH EASTON,6-7
01560,MA,SOUTH GRAFTON,6
01982,MA,SOUTH HAMILTON,6
02071,MA,SOUTH WALPOLE,6-7
02664,MA,SOUTH YARMOUTH,7
02673,MA,WEST YARMOUTH,7
01562,MA,SPENCER,5-6
01564,MA,STERLING,5-6
02072,MA,STOUGHTON,6-7
01775,MA,STOW,6
01518,MA,FISKDALE,6
01566,MA,STURBRIDGE,6
01776,MA,SUDBURY,6-7
01590,MA,SUTTON,6
01468,MA,TEMPLETON,5-6
01876,MA,TEWKSBURY,6
01983,MA,TOPSFIELD,6-7
01469,MA,TOWNSEND,5-6
01474,MA,WEST TOWNSEND,5-6
01879,MA,TYNGSBORO,6
01569,MA,UXBRIDGE,6
02568,MA,VINEYARD HAVEN,7
01880,MA,WAKEFIELD,6-7
02081,MA,WALPOLE,6-7
02571,MA,WAREHAM,6-7
01778,MA,WAYLAND,6-7
01570,MA,WEBSTER,6
01571,MA,DUDLEY,6
02667,MA,WELLFLEET,7
01923,MA,DANVERS,6-7
02026,MA,DEDHAM,6-7
02638,MA,DENNIS,7
02639,MA,DENNIS PORT,7
02030,MA,DOVER,6-7
01826,MA,DRACUT,6
01827,MA,DUNSTABLE,6
02332,MA,DUXBURY,6-7
02333,MA,EAST BRIDGEWATER,6-7
01515,MA,EAST BROOKFIELD,5-6
01516,MA,DOUGLAS,6
02536,MA,EAST FALMOUTH,7
02642,MA,EASTHAM,7
02537,MA,EAST SANDWICH,6-7
02032,MA,EAST WALPOLE,6-7
02538,MA,EAST WAREHAM,6-7
02539,MA,EDGARTOWN,7
01929,MA,ESSEX,6
02540,MA,FALMOUTH,7
02543,MA,WOODS HOLE,7
01521,MA,HOLLAND,6
01420,MA,FITCHBURG,5-6
02644,MA,FORESTDALE,6-7
02035,MA,FOXBORO,6-7
01701,MA,FRAMINGHAM,6-7
01702,MA,FRAMINGHAM,6-7
02038,MA,FRANKLIN,6
01440,MA,GARDNER,5-6
01930,MA,GLOUCESTER,6
01519,MA,GRAFTON,6
01450,MA,GROTON,6
02338,MA,HALIFAX,6-7
02339,MA,HANOVER,6-7
02341,MA,HANSON,6-7
01451,MA,HARVARD,6
02645,MA,HARWICH,7
02646,MA,HARWICH PORT,7
01830,MA,HAVERHILL,6
01832,MA,HAVERHILL,5-6
01833,MA,GEORGETOWN,6
01834,MA,GROVELAND,6
01835,MA,HAVERHILL,6
02043,MA,HINGHAM,6-7
02343,MA,HOLBROOK,6-7
01520,MA,HOLDEN,5-6
01746,MA,HOLLISTON,6-7
01747,MA,HOPEDALE,6
01748,MA,HOPKINTON,6
01452,MA,HUBBARDSTON,5-6
01749,MA,HUDSON,6
02045,MA,HULL,6-7
02601,MA,HYANNIS,7
01938,MA,IPSWICH,6
01522,MA,JEFFERSON,5-6
01523,MA,LANCASTER,5-6
01840,MA,LAWRENCE,6
01841,MA,LAWRENCE,6
01843,MA,LAWRENCE,6
01844,MA,METHUEN,6
01845,MA,NORTH ANDOVER,6
01524,MA,LEICESTER,5-6
01453,MA,LEOMINSTER,5-6
01773,MA,LINCOLN,6-7
01460,MA,LITTLETON,6
01850,MA,LOWELL,6
01851,MA,LOWELL,6
01852,MA,LOWELL,6
01854,MA,LOWELL,6
01462,MA,LUNENBURG,5-6
01901,MA,LYNN,6-7
01902,MA,LYNN,6-7
01904,MA,LYNN,6-7
01905,MA,LYNN,6-7
01906,MA,SAUGUS,6-7
01907,MA,SWAMPSCOTT,6-7
01908,MA,NAHANT,6-7
01940,MA,LYNNFIELD,6-7
01944,MA,MANCHESTER,6-7
02048,MA,MANSFIELD,6
01945,MA,MARBLEHEAD,6-7
01752,MA,MARLBOROUGH,6
02050,MA,MARSHFIELD,6-7
02648,MA,MARSTONS MILLS,7
02649,MA,MASHPEE,7
01754,MA,MAYNARD,6-7
02052,MA,MEDFIELD,6-7
02053,MA,MEDWAY,6-7
01756,MA,MENDON,6
01860,MA,MERRIMAC,6
02346,MA,MIDDLEBORO,6-7
01949,MA,MIDDLETON,6-7
01757,MA,MILFORD,6
01527,MA,MILLBURY,6
01984,MA,WENHAM,6-7
02668,MA,WEST BARNSTABLE,7
01581,MA,WESTBOROUGH,6
01583,MA,WEST BOYLSTON,5-6
02379,MA,WEST BRIDGEWATER,6-7
01585,MA,WEST BROOKFIELD,5-6
02670,MA,WEST DENNIS,7
01886,MA,WESTFORD,6
02671,MA,WEST HARWICH,7
01473,MA,WESTMINSTER,5-6
01985,MA,WEST NEWBURY,6
01568,MA,UPTON,6
02576,MA,WEST WAREHAM,6-7
02090,MA,WESTWOOD,6-7
01588,MA,WHITINSVILLE,6
02382,MA,WHITMAN,6-7
01887,MA,WILMINGTON,6-7
01475,MA,WINCHENDON,5-6
01890,MA,WINCHESTER,6-7
01801,MA,WOBURN,6-7
01602,MA,WORCESTER,5-6
01603,MA,WORCESTER,5-6
01604,MA,WORCESTER,5-6
01605,MA,WORCESTER,5-6
01606,MA,WORCESTER,5-6
01607,MA,WORCESTER,5-6
01608,MA,WORCESTER,5-6
01609,MA,WORCESTER,5-6
01610,MA,WORCESTER,5-6
01611,MA,CHERRY VALLEY,5-6
01612,MA,PAXTON,5-6
01655,MA,WORCESTER,5-6
02093,MA,WRENTHAM,6
02675,MA,YARMOUTH PORT,7
02364,MA,KINGSTON,6-7
02347,MA,LAKEVILLE,6-7
04406,ME,ABBOT,5
04001,ME,ACTON,5-6
04606,ME,ADDISON,5
04910,ME,ALBION,5
04002,ME,ALFRED,5-6
04535,ME,ALNA,5-6
04216,ME,ANDOVER,4
04911,ME,ANSON,5
04732,ME,ASHLAND,4
04912,ME,ATHENS,5
04210,ME,AUBURN,5-6
04330,ME,AUGUSTA,5-6
04408,ME,AURORA,5
04003,ME,BAILEY ISLAND,5-6
04401,ME,BANGOR,5
04609,ME,BAR HARBOR,6
04653,ME,BASS HARBOR,6
04530,ME,BATH,5-6
04915,ME,BELFAST,5-6
04917,ME,BELGRADE,5-6
04918,ME,BELGRADE LAKES,5-6
04733,ME,BENEDICTA,5
04612,ME,BERNARD,6
03901,ME,BERWICK,5-6
04217,ME,BETHEL,5
04005,ME,BIDDEFORD,5-6
04920,ME,BINGHAM,5
04613,ME,BIRCH HARBOR,6
04614,ME,BLUE HILL,6
04537,ME,BOOTHBAY,5-6
04549,ME,ISLE OF SPRINGS,5-6
04538,ME,BOOTHBAY HARBOR,5-6
04008,ME,BOWDOINHAM,5-6
04410,ME,BRADFORD,5
04411,ME,BRADLEY,5
04412,ME,BREWER,5
04735,ME,BRIDGEWATER,4
04009,ME,BRIDGTON,4-5
04539,ME,BRISTOL,5-6
04616,ME,BROOKLIN,6
04921,ME,BROOKS,5
04617,ME,BROOKSVILLE,5
04642,ME,HARBORSIDE,5
04413,ME,BROOKTON,4-5
04010,ME,BROWNFIELD,4-5
04414,ME,BROWNVILLE,5
04011,ME,BRUNSWICK,5-6
04219,ME,BRYANT POND,5
04220,ME,BUCKFIELD,5-6
04416,ME,BUCKSPORT,5
04417,ME,BURLINGTON,5
04922,ME,BURNHAM,4-5
04619,ME,CALAIS,5
04923,ME,CAMBRIDGE,4-5
04843,ME,CAMDEN,5-6
04847,ME,HOPE,5-6
04924,ME,CANAAN,4-5
04221,ME,CANTON,5-6
03902,ME,CAPE NEDDICK,5-6
04925,ME,CARATUNK,5
04418,ME,GREENBUSH,5
04736,ME,CARIBOU,3-4
04419,ME,CARMEL,4-5
04015,ME,CASCO,5-6
04421,ME,CASTINE,5
04541,ME,CHAMBERLAIN,5-6
04422,ME,CHARLESTON,4-5
04017,ME,CHEBEAGUE ISLAND,5-6
04622,ME,CHERRYFIELD,5-6
04927,ME,CLINTON,5
04623,ME,COLUMBIA FALLS,5
04624,ME,COREA,6
04928,ME,CORINNA,4-5
04020,ME,CORNISH,4-5
04021,ME,CUMBERLAND CENTER,5-6
04563,ME,CUSHING,6
04626,ME,CUTLER,5
04543,ME,DAMARISCOTTA,5-6
04424,ME,DANFORTH,4-5
04492,ME,WAITE,5
04627,ME,DEER ISLE,5-6
04022,ME,DENMARK,4-5
04628,ME,DENNYSVILLE,5
04929,ME,DETROIT,4
04930,ME,DEXTER,4-5
04224,ME,DIXFIELD,5
04932,ME,DIXMONT,4-5
04426,ME,DOVER FOXCROFT,5
04342,ME,DRESDEN,5-6
04225,ME,DRYDEN,5
04739,ME,EAGLE LAKE,3-4
04226,ME,EAST ANDOVER,4
04024,ME,EAST BALDWIN,4-5
04544,ME,EAST BOOTHBAY,5-6
04427,ME,CORINTH,4-5
04428,ME,EDDINGTON,5
04429,ME,HOLDEN,5
04027,ME,LEBANON,5-6
04228,ME,EAST LIVERMORE,5-6
04630,ME,EAST MACHIAS,5
04430,ME,EAST MILLINOCKET,5
04740,ME,EASTON,4
04631,ME,EASTPORT,5
04029,ME,SEBAGO,4-6
04231,ME,STONEHAM,4-5
04030,ME,EAST WATERBORO,5
03903,ME,ELIOT,5-6
04605,ME,ELLSWORTH,5-6
04434,ME,ETNA,4-5
04936,ME,EUSTIS,4
04435,ME,EXETER,4-5
04937,ME,FAIRFIELD,5
04938,ME,FARMINGTON,5
04742,ME,FORT FAIRFIELD,4
04737,ME,CLAYTON LAKE,3
04743,ME,FORT KENT,3-4
04438,ME,FRANKFORT,5
04634,ME,FRANKLIN,6
04941,ME,FREEDOM,5-6
04032,ME,FREEPORT,5-6
04547,ME,FRIENDSHIP,6
04037,ME,FRYEBURG,4-5
04344,ME,FARMINGDALE,5-6
04345,ME,GARDINER,5-6
04346,ME,RANDOLPH,5-6
04939,ME,GARLAND,4-5
04548,ME,GEORGETOWN,5-6
04038,ME,GORHAM,5-6
04607,ME,GOULDSBORO,6
04746,ME,GRAND ISLE,3-5
04039,ME,GRAY,5-6
04236,ME,GREENE,5-6
04441,ME,GREENVILLE,5
04442,ME,GREENVILLE JUNCTION,4-5
04443,ME,GUILFORD,5
04347,ME,HALLOWELL,5-6
04444,ME,HAMPDEN,5
04640,ME,HANCOCK,6
04237,ME,HANOVER,4-6
04942,ME,HARMONY,4-5
04643,ME,HARRINGTON,5-6
04040,ME,HARRISON,4-6
04943,ME,HARTLAND,4-5
04238,ME,HEBRON,5-6
04041,ME,HIRAM,4-5
04042,ME,HOLLIS CENTER,5-6
04730,ME,HOULTON,4
04448,ME,HOWLAND,5
04449,ME,HUDSON,5
04747,ME,ISLAND FALLS,5
04848,ME,ISLESBORO,5-6
04945,ME,JACKMAN,4
04239,ME,JAY,5-6
04348,ME,JEFFERSON,5-6
04648,ME,JONESBORO,5
04649,ME,JONESPORT,5
04450,ME,KENDUSKEAG,4-5
04043,ME,KENNEBUNK,5-6
04046,ME,KENNEBUNKPORT,5-6
04349,ME,KENTS HILL,5-6
04047,ME,PARSONSFIELD,4-5
04947,ME,KINGFIELD,4-5
04451,ME,KINGMAN,4
03904,ME,KITTERY,5-6
03905,ME,KITTERY POINT,5-6
04453,ME,LAGRANGE,5
04455,ME,LEE,4-5
04263,ME,LEEDS,5-6
04456,ME,LEVANT,4-5
04240,ME,LEWISTON,5-6
04949,ME,LIBERTY,5-6
04048,ME,LIMERICK,5
04750,ME,LIMESTONE,3-4
04049,ME,LIMINGTON,5
04457,ME,LINCOLN,5
04849,ME,LINCOLNVILLE,5-6
04222,ME,DURHAM,5-6
04250,ME,LISBON,5-6
04252,ME,LISBON FALLS,5-6
04350,ME,LITCHFIELD,5-6
04650,ME,LITTLE DEER ISLE,5
04253,ME,LIVERMORE,5-6
04254,ME,LIVERMORE FALLS,5-6
04255,ME,GREENWOOD,5
04050,ME,LONG ISLAND,6
04051,ME,LOVELL,4-5
04652,ME,LUBEC,5
04654,ME,MACHIAS,5
04686,ME,WESLEY,5
04655,ME,MACHIASPORT,5
04756,ME,MADAWASKA,4-5
04950,ME,MADISON,5
04351,ME,MANCHESTER,5-6
04757,ME,MAPLETON,4
04758,ME,MARS HILL,4
04459,ME,MATTAWAMKEAG,4-5
04256,ME,MECHANIC FALLS,5-6
04657,ME,MEDDYBEMPS,5
04551,ME,BREMEN,5-6
04460,ME,MEDWAY,5
04257,ME,MEXICO,5
04658,ME,MILBRIDGE,6
04461,ME,MILFORD,5
04462,ME,MILLINOCKET,5
04463,ME,MILO,5
04258,ME,MINOT,5-6
04259,ME,MONMOUTH,5-6
04951,ME,MONROE,5
04464,ME,MONSON,5
04760,ME,MONTICELLO,4
04952,ME,MORRILL,5-6
04660,ME,MOUNT DESERT,6
04352,ME,MOUNT VERNON,5-6
04055,ME,NAPLES,4-6
04553,ME,NEWCASTLE,5-6
04260,ME,NEW GLOUCESTER,5-6
04554,ME,NEW HARBOR,5-6
04558,ME,PEMAQUID,5-6
04953,ME,NEWPORT,4
04261,ME,NEWRY,4
04955,ME,NEW SHARON,5
04762,ME,NEW SWEDEN,3-4
04956,ME,NEW VINEYARD,5
04555,ME,NOBLEBORO,5-6
04957,ME,NORRIDGEWOCK,5
04958,ME,NORTH ANSON,5
03906,ME,NORTH BERWICK,5-6
04556,ME,EDGECOMB,5-6
04853,ME,NORTH HAVEN,5-6
04265,ME,NORTH MONMOUTH,5-6
04961,ME,NEW PORTLAND,5
04664,ME,SULLIVAN,6
04962,ME,NORTH VASSALBORO,5-6
04061,ME,NORTH WATERBORO,5
04353,ME,WHITEFIELD,5-6
04062,ME,WINDHAM,5-6
04268,ME,NORWAY,5-6
04763,ME,OAKFIELD,4
04963,ME,OAKLAND,5-6
03907,ME,OGUNQUIT,5-6
04064,ME,OLD ORCHARD BEACH,5-6
04468,ME,OLD TOWN,5
04471,ME,ORIENT,4
04472,ME,ORLAND,5
04473,ME,ORONO,5
04474,ME,ORRINGTON,5
04066,ME,ORRS ISLAND,5-6
04854,ME,OWLS HEAD,6
04764,ME,OXBOW,5
04270,ME,OXFORD,5-6
04354,ME,PALERMO,5
04965,ME,PALMYRA,4
04475,ME,PASSADUMKEAG,5
04765,ME,PATTEN,5
04666,ME,PEMBROKE,5
04476,ME,PENOBSCOT,5
04766,ME,PERHAM,4
04667,ME,PERRY,5
04966,ME,PHILLIPS,4-5
04562,ME,PHIPPSBURG,5-6
04967,ME,PITTSFIELD,4
04969,ME,PLYMOUTH,4
04274,ME,POLAND,5-6
04768,ME,PORTAGE,4
04068,ME,PORTER,4-5
04101,ME,PORTLAND,5-6
04102,ME,PORTLAND,5-6
04103,ME,PORTLAND,5-6
04105,ME,FALMOUTH,5-6
04106,ME,SOUTH PORTLAND,5-6
04107,ME,CAPE ELIZABETH,6
04108,ME,PEAKS ISLAND,6
04109,ME,PORTLAND,6
04110,ME,CUMBERLAND FORESIDE,5-6
04069,ME,POWNAL,5-6
04769,ME,PRESQUE ISLE,4
04668,ME,PRINCETON,5
04669,ME,PROSPECT HARBOR,6
04970,ME,RANGELEY,4-5
04071,ME,RAYMOND,5-6
04355,ME,READFIELD,5-6
04357,ME,RICHMOND,5-6
04671,ME,ROBBINSTON,5
04841,ME,ROCKLAND,6
04856,ME,ROCKPORT,5-6
04478,ME,ROCKWOOD,4-5
04564,ME,ROUND POND,5-6
04275,ME,ROXBURY,4-5
04276,ME,RUMFORD,5
04280,ME,SABATTUS,5-6
04072,ME,SACO,5-6
04772,ME,SAINT AGATHA,4-5
04971,ME,SAINT ALBANS,4
04773,ME,SAINT DAVID,3-5
04774,ME,SAINT FRANCIS,3
04073,ME,SANFORD,5-6
04479,ME,SANGERVILLE,4-5
04074,ME,SCARBOROUGH,5-6
04674,ME,SEAL COVE,6
04973,ME,SEARSMONT,5-6
04974,ME,SEARSPORT,5
04673,ME,SARGENTVILLE,5
04676,ME,SEDGWICK,5
04076,ME,SHAPLEIGH,5-6
04776,ME,SHERMAN,5
04777,ME,STACYVILLE,5
04779,ME,SINCLAIR,3-5
04976,ME,SKOWHEGAN,5
04978,ME,SMITHFIELD,5
04780,ME,SMYRNA MILLS,5
04781,ME,WALLAGRASS,4-5
04979,ME,SOLON,5
04677,ME,SORRENTO,6
03908,ME,SOUTH BERWICK,5-6
04568,ME,SOUTH BRISTOL,5-6
04358,ME,SOUTH CHINA,5-6
04013,ME,BUSTINS ISLAND,5-6
04079,ME,HARPSWELL,5-6
04281,ME,SOUTH PARIS,5-6
04858,ME,SOUTH THOMASTON,6
04679,ME,SOUTHWEST HARBOR,6
04487,ME,SPRINGFIELD,4-5
04083,ME,SPRINGVALE,5-6
04859,ME,SPRUCE HEAD,6
04084,ME,STANDISH,5-6
04085,ME,STEEP FALLS,5-6
04488,ME,STETSON,4-5
04680,ME,STEUBEN,6
04783,ME,STOCKHOLM,3-5
04981,ME,STOCKTON SPRINGS,5
04681,ME,STONINGTON,5-6
04982,ME,STRATTON,4-5
04983,ME,STRONG,5
04683,ME,SUNSET,5
04684,ME,SURRY,6
04685,ME,SWANS ISLAND,6
04984,ME,TEMPLE,5
04860,ME,TENANTS HARBOR,6
04861,ME,THOMASTON,6
04986,ME,THORNDIKE,5
04490,ME,TOPSFIELD,4-5
04086,ME,TOPSHAM,5-6
04571,ME,TREVETT,5-6
04987,ME,TROY,4
04282,ME,TURNER,5-6
04862,ME,UNION,5-6
04988,ME,UNITY,5
04745,ME,FRENCHVILLE,4-5
04785,ME,VAN BUREN,3-4
04989,ME,VASSALBORO,5-6
04360,ME,VIENNA,5-6
04863,ME,VINALHAVEN,6
04572,ME,WALDOBORO,6
04573,ME,WALPOLE,5-6
04864,ME,WARREN,6
04786,ME,WASHBURN,4
04574,ME,WASHINGTON,6
04087,ME,WATERBORO,5
04088,ME,WATERFORD,4-5
04901,ME,WATERVILLE,5
04284,ME,WAYNE,5-6
04285,ME,WELD,5
04090,ME,WELLS,5-6
04091,ME,WEST BALDWIN,4-5
04287,ME,BOWDOIN,5-6
04092,ME,WESTBROOK,5-6
04093,ME,BUXTON,5-6
04493,ME,WEST ENFIELD,5
04787,ME,WESTFIELD,4
04985,ME,WEST FORKS,4-5
04095,ME,WEST NEWFIELD,5
04289,ME,WEST PARIS,5-6
04290,ME,PERU,5-6
04576,ME,SOUTHPORT,5-6
04292,ME,SUMNER,5-6
04691,ME,WHITING,5
04294,ME,WILTON,5
04363,ME,WINDSOR,5-6
04495,ME,WINN,4-5
04693,ME,WINTER HARBOR,6
04496,ME,WINTERPORT,5
04364,ME,WINTHROP,5-6
04578,ME,WISCASSET,5-6
04694,ME,BAILEYVILLE,5
04579,ME,WOOLWICH,5-6
04497,ME,WYTOPITLOCK,4
04096,ME,YARMOUTH,5-6
04097,ME,NORTH YARMOUTH,5-6
03909,ME,YORK,5-6
03601,NH,ACWORTH,5-6
03602,NH,ALSTEAD,5-6
03607,NH,SOUTH ACWORTH,5-6
03809,NH,ALTON,5-6
03810,NH,ALTON BAY,5-6
03031,NH,AMHERST,5-6
03216,NH,ANDOVER,5-6
03440,NH,ANTRIM,5-6
03217,NH,ASHLAND,5-6
03441,NH,ASHUELOT,5
03811,NH,ATKINSON,5-6
03032,NH,AUBURN,5-6
03218,NH,BARNSTEAD,5-6
03825,NH,BARRINGTON,5-6
03812,NH,BARTLETT,3-5
03740,NH,BATH,4-5
03220,NH,BELMONT,5-6
03442,NH,BENNINGTON,5
03570,NH,BERLIN,3-5
